,0
968.0,0.0175
968.5,0.0171
969.0,0.0175
967.5,0.0193
967.0,0.0201
969.5,0.0173
970.0,0.0173
970.5,0.0164
971.0,0.0134
971.5,0.0128
972.0,0.0127
972.5,0.0112
973.0,0.012
973.5,0.0111
974.0,0.0096
974.5,0.0071
975.0,0.0058
975.5,0.0062
976.0,0.0061
976.5,0.0053
977.0,0.0041
977.5,0.0041
978.0,0.0038
978.5,0.0027
979.0,0.002
979.5,0.0016
980.0,0.0013
966.5,0.0197
966.0,0.0209
965.5,0.0229
965.0,0.0271
964.5,0.0315
964.0,0.0318
963.5,0.0297
963.0,0.0276
962.5,0.0286
962.0,0.03
961.5,0.0308
961.0,0.0287
960.5,0.0245
960.0,0.0248
959.5,0.026
959.0,0.026
958.5,0.0256
958.0,0.0265
957.5,0.0242
957.0,0.0217
956.5,0.0212
956.0,0.0196
955.5,0.0198
955.0,0.0211
954.5,0.0252
954.0,0.0275
953.5,0.0304
953.0,0.0359
952.5,0.0371
952.0,0.0355
951.5,0.0319
951.0,0.0285
950.5,0.0285
950.0,0.029
949.5,0.0267
949.0,0.0251
948.5,0.025
948.0,0.0244
947.5,0.0256
947.0,0.0274
946.5,0.028
946.0,0.0328
945.5,0.0383
945.0,0.0378
944.5,0.0388
944.0,0.0403
943.5,0.0398
943.0,0.0396
942.5,0.0398
942.0,0.0398
941.5,0.0368
941.0,0.0375
940.5,0.0443
940.0,0.0481
939.5,0.046
939.0,0.0449
938.5,0.0451
938.0,0.0462
937.5,0.0468
937.0,0.0458
936.5,0.045
936.0,0.0398
935.5,0.0369
935.0,0.0384
934.5,0.04
934.0,0.0458
933.5,0.0507
933.0,0.052
932.5,0.0528
932.0,0.0538
931.5,0.0555
931.0,0.0549
930.5,0.0534
930.0,0.055
929.5,0.0544
929.0,0.0553
928.5,0.0565
928.0,0.0533
927.5,0.0516
927.0,0.0477
926.5,0.0411
926.0,0.0414
925.5,0.0436
925.0,0.0427
924.5,0.0404
924.0,0.0411
923.5,0.0463
923.0,0.0463
922.5,0.0451
922.0,0.0469
921.5,0.05
921.0,0.0507
920.5,0.0497
920.0,0.051
919.5,0.0479
919.0,0.042
918.5,0.0379
918.0,0.0387
917.5,0.0467
917.0,0.0484
916.5,0.0473
916.0,0.05
915.5,0.0458
915.0,0.0412
914.5,0.0409
914.0,0.0387
913.5,0.0352
913.0,0.0341
912.5,0.0323
912.0,0.0318
911.5,0.0274
911.0,0.0216
910.5,0.022
910.0,0.0236
909.5,0.0227
909.0,0.0244
908.5,0.0284
908.0,0.0309
907.5,0.0346
907.0,0.0419
906.5,0.0477
906.0,0.0523
905.5,0.0554
905.0,0.0547
904.5,0.0542
904.0,0.0534
903.5,0.0535
903.0,0.0545
902.5,0.0546
902.0,0.056
901.5,0.0551
901.0,0.0527
900.5,0.0539
900.0,0.0531
899.5,0.0485
899.0,0.0424
898.5,0.0352
898.0,0.0349
897.5,0.0368
897.0,0.0342
896.5,0.0364
980.5,0.0012
981.0,0.0016
981.5,0.002
982.0,0.0019
982.5,0.0022
983.0,0.0019
983.5,0.0017
984.0,0.0015
984.5,0.0007
985.0,0.0004
985.5,0.0002
896.0,0.0413
895.5,0.0414
895.0,0.0418
894.5,0.0442
894.0,0.0462
893.5,0.0497
893.0,0.0548
892.5,0.0574
892.0,0.057
891.5,0.0549
891.0,0.0515
890.5,0.0517
890.0,0.0542
889.5,0.0524
889.0,0.0518
888.5,0.0494
888.0,0.0453
887.5,0.0464
887.0,0.0479
886.5,0.0516
886.0,0.0531
885.5,0.0519
885.0,0.0575
884.5,0.0661
884.0,0.0698
883.5,0.0701
883.0,0.0698
882.5,0.0677
882.0,0.0642
881.5,0.0641
881.0,0.0629
880.5,0.0579
880.0,0.0552
879.5,0.0549
879.0,0.054
878.5,0.0525
878.0,0.0484
877.5,0.0476
877.0,0.0532
876.5,0.0582
876.0,0.0585
875.5,0.0542
875.0,0.0529
874.5,0.0573
874.0,0.0629
873.5,0.0663
873.0,0.0688
872.5,0.065
872.0,0.0582
871.5,0.0598
871.0,0.0598
870.5,0.0533
870.0,0.0507
869.5,0.0522
869.0,0.0562
868.5,0.0538
868.0,0.0477
867.5,0.0456
867.0,0.0435
866.5,0.0403
866.0,0.0365
865.5,0.0348
865.0,0.0365
864.5,0.0399
864.0,0.0389
863.5,0.0392
863.0,0.0458
862.5,0.0507
862.0,0.0532
861.5,0.0515
861.0,0.0497
860.5,0.0502
860.0,0.0521
859.5,0.0527
859.0,0.0518
858.5,0.0507
858.0,0.0481
857.5,0.0499
857.0,0.0547
856.5,0.0574
856.0,0.0617
855.5,0.0665
855.0,0.0685
854.5,0.0714
854.0,0.0788
853.5,0.0814
853.0,0.0842
852.5,0.087
852.0,0.0843
851.5,0.0809
851.0,0.0794
850.5,0.076
850.0,0.0735
849.5,0.0767
849.0,0.0759
848.5,0.0748
848.0,0.0759
847.5,0.078
847.0,0.0711
846.5,0.0606
846.0,0.0576
845.5,0.0562
845.0,0.0508
844.5,0.0472
844.0,0.0494
843.5,0.0506
843.0,0.0483
842.5,0.0427
842.0,0.0348
841.5,0.0329
841.0,0.0354
840.5,0.0357
840.0,0.0325
839.5,0.0297
839.0,0.0269
838.5,0.0252
838.0,0.025
837.5,0.0221
837.0,0.019
836.5,0.0175
836.0,0.0176
835.5,0.0184
835.0,0.0183
834.5,0.0195
834.0,0.0225
833.5,0.0233
833.0,0.021
832.5,0.0201
832.0,0.0194
831.5,0.0177
831.0,0.0189
830.5,0.0204
830.0,0.0224
829.5,0.0293
829.0,0.0337
828.5,0.0342
828.0,0.0342
827.5,0.0329
827.0,0.0342
826.5,0.0356
826.0,0.0341
825.5,0.033
825.0,0.032
824.5,0.0307
824.0,0.0308
823.5,0.0302
823.0,0.03
822.5,0.0303
822.0,0.0307
821.5,0.0322
821.0,0.0325
820.5,0.0348
820.0,0.0366
819.5,0.0373
819.0,0.0368
818.5,0.0367
818.0,0.0351
817.5,0.0307
817.0,0.0337
816.5,0.0381
816.0,0.0345
815.5,0.0297
815.0,0.029
814.5,0.0317
814.0,0.0332
813.5,0.033
813.0,0.033
812.5,0.033
812.0,0.0338
811.5,0.0315
811.0,0.0281
810.5,0.0262
810.0,0.0274
809.5,0.0279
809.0,0.0295
808.5,0.0347
808.0,0.0392
807.5,0.0386
807.0,0.0352
806.5,0.0335
806.0,0.0337
805.5,0.0311
805.0,0.0276
804.5,0.029
804.0,0.0319
803.5,0.0334
803.0,0.0314
802.5,0.0284
802.0,0.0299
801.5,0.032
801.0,0.0317
800.5,0.0325
800.0,0.03
799.5,0.0311
799.0,0.0335
798.5,0.0319
798.0,0.0347
797.5,0.041
797.0,0.0452
796.5,0.0511
796.0,0.0549
795.5,0.0534
795.0,0.0486
794.5,0.0429
794.0,0.0398
793.5,0.0386
793.0,0.0394
792.5,0.0418
792.0,0.0419
791.5,0.0427
791.0,0.0465
790.5,0.0438
790.0,0.0404
789.5,0.0411
789.0,0.0428
788.5,0.0468
788.0,0.045
787.5,0.0407
787.0,0.0461
786.5,0.0519
786.0,0.0548
785.5,0.0564
785.0,0.0531
784.5,0.056
784.0,0.0619
783.5,0.0648
783.0,0.0616
782.5,0.0604
782.0,0.063
781.5,0.0567
781.0,0.0531
780.5,0.054
780.0,0.0569
779.5,0.0614
779.0,0.0588
778.5,0.0579
778.0,0.0587
777.5,0.0528
777.0,0.0516
776.5,0.0532
776.0,0.0507
775.5,0.0502
775.0,0.0493
774.5,0.0468
774.0,0.0474
773.5,0.0448
773.0,0.0488
772.5,0.0518
772.0,0.0532
771.5,0.0592
771.0,0.0577
770.5,0.0583
770.0,0.0621
769.5,0.0646
769.0,0.0622
768.5,0.0551
768.0,0.0545
767.5,0.0629
767.0,0.0671
766.5,0.0671
766.0,0.064
765.5,0.0591
765.0,0.0571
764.5,0.054
764.0,0.0524
763.5,0.0537
763.0,0.0595
762.5,0.0598
762.0,0.0596
761.5,0.0614
761.0,0.0652
760.5,0.0622
760.0,0.0571
759.5,0.0567
759.0,0.057
758.5,0.0613
758.0,0.0641
757.5,0.0648
757.0,0.062
756.5,0.0581
756.0,0.0569
755.5,0.0535
755.0,0.0515
754.5,0.0478
754.0,0.042
753.5,0.0399
753.0,0.0372
752.5,0.0366
752.0,0.04
751.5,0.0432
751.0,0.0438
750.5,0.0391
750.0,0.0319
749.5,0.0304
749.0,0.0309
748.5,0.036
748.0,0.0441
747.5,0.0415
747.0,0.0384
746.5,0.0414
746.0,0.0417
745.5,0.0403
745.0,0.0366
744.5,0.0346
744.0,0.0408
743.5,0.0465
743.0,0.0481
742.5,0.0453
742.0,0.0445
741.5,0.0438
741.0,0.0408
740.5,0.0389
740.0,0.0373
739.5,0.0363
739.0,0.0337
738.5,0.0333
738.0,0.0379
737.5,0.0411
737.0,0.0386
736.5,0.0401
736.0,0.043
735.5,0.0451
735.0,0.0514
734.5,0.0532
734.0,0.0552
733.5,0.0612
733.0,0.0689
732.5,0.0747
732.0,0.0784
731.5,0.0799
731.0,0.079
730.5,0.0773
730.0,0.0754
729.5,0.0778
729.0,0.0771
728.5,0.0759
728.0,0.0757
727.5,0.0759
727.0,0.0773
726.5,0.0791
726.0,0.0783
725.5,0.0806
725.0,0.0844
724.5,0.0853
724.0,0.0822
723.5,0.0779
723.0,0.0772
722.5,0.0748
722.0,0.0741
721.5,0.0786
721.0,0.08
720.5,0.0778
720.0,0.0771
719.5,0.074
719.0,0.071
718.5,0.0757
718.0,0.0789
717.5,0.0782
717.0,0.0795
716.5,0.0781
716.0,0.0829
715.5,0.092
715.0,0.0934
714.5,0.0929
714.0,0.0937
713.5,0.086
713.0,0.0834
712.5,0.0828
712.0,0.0797
711.5,0.0794
711.0,0.0834
710.5,0.0908
710.0,0.0859
709.5,0.0819
709.0,0.0825
708.5,0.0808
708.0,0.0803
707.5,0.0799
707.0,0.0815
706.5,0.0792
706.0,0.0738
705.5,0.0703
705.0,0.0671
704.5,0.0624
704.0,0.057
703.5,0.0535
703.0,0.0553
702.5,0.0597
702.0,0.0607
701.5,0.0589
701.0,0.0585
