,occurences
-0.02618,5.4952
-0.05234,5.33525
-0.07846,5.07215
-0.10453,4.7455
0.0,5.5388
0.02618,5.4783
0.05234,5.30845
0.07846,5.05085
0.10453,4.69785
0.13053,4.2971
0.15643,3.87245
0.18224,3.43525
0.20791,2.98475
-0.13053,4.34515
-0.15643,3.9087
-0.18224,3.43775
0.23345,2.5323
0.25882,2.08725
0.28402,1.6713
0.30902,1.34535
0.33381,1.06285
0.35837,0.8207
0.38268,0.6339
0.40674,0.47595
-0.20791,2.9829
-0.23345,2.5345
-0.25882,2.1241
-0.28402,1.76395
-0.30902,1.4223
-0.33381,1.11095
-0.35837,0.8489
-0.38268,0.6486
-0.40674,0.49385
-0.43051,0.37005
-0.45399,0.2751
-0.47716,0.1964
-0.5,0.138
0.43051,0.34145
0.45399,0.23875
0.47716,0.17115
0.5,0.1223
0.5225,0.0843
0.54464,0.05955
-0.5225,0.0975
-0.54464,0.07135
-0.56641,0.0523
-0.58779,0.0371
-0.60876,0.0238
-0.62932,0.0153
-0.64945,0.01005
-0.66913,0.00735
-0.68835,0.00465
-0.70711,0.0028
-0.72537,0.00215
-0.74314,0.0009
0.56641,0.04275
0.58779,0.0304
0.60876,0.01905
0.62932,0.0102
0.64945,0.00605
-0.76041,0.0004
-0.77715,5e-05
0.66913,0.00315
0.68835,0.00145
0.70711,0.00055
0.72537,0.0004
0.74314,0.0001
