,Energy
0.0,-194.41562830909015
0.5,-194.4156279759522
1.0,-194.41562697676676
1.5,-194.4156253122187
2.0,-194.41562298344883
2.5,-194.41561999205328
3.0,-194.4156163400824
3.5,-194.41561203003917
4.0,-194.41560706487775
4.5,-194.4156014480012
5.0,-194.41559518325937
5.5,-194.415588274946
6.0,-194.41558072779605
6.5,-194.41557254698233
7.0,-194.41556373811187
7.5,-194.41555430722224
8.0,-194.41554426077744
8.5,-194.4155336056631
9.0,-194.41552234918214
9.5,-194.4155104990498
10.0,-194.415498063388
10.5,-194.41548505071995
11.0,-194.41547146996456
11.5,-194.4154573304299
12.0,-194.41544264180695
12.5,-194.4154274141633
13.0,-194.4154116579357
13.5,-194.41539538392328
14.0,-194.41537860328006
14.5,-194.41536132750716
15.0,-194.41534356844528
15.5,-194.4153253382661
16.0,-194.41530664946427
16.5,-194.41528751484879
17.0,-194.41526794753418
17.5,-194.41524796093148
18.0,-194.41522756873908
18.5,-194.41520678493345
19.0,-194.41518562375919
19.5,-194.4151640997198
20.0,-194.4151422275672
20.5,-194.41512002229211
21.0,-194.4150974991134
21.5,-194.41507467346776
22.0,-194.41505156099936
22.5,-194.41502817754866
23.0,-194.41500453914205
23.5,-194.41498066198045
24.0,-194.41495656242856
24.5,-194.4149322570033
25.0,-194.41490776236273
25.5,-194.41488309529458
26.0,-194.41485827270475
26.5,-194.41483331160566
27.0,-194.41480822910458
27.5,-194.41478304239206
28.0,-194.41475776872994
28.5,-194.4147324254397
29.0,-194.4147070298905
29.5,-194.4146815994872
30.0,-194.41465615165862
30.5,-194.41463070384538
31.0,-194.41460527348823
31.5,-194.4145798780157
32.0,-194.41455453483263
32.5,-194.4145292613078
33.0,-194.41450407476222
33.5,-194.41447899245736
34.0,-194.41445403158318
34.5,-194.41442920924644
35.0,-194.41440454245884
35.5,-194.4143800481254
36.0,-194.41435574303307
36.5,-194.41433164383903
37.0,-194.41430776705926
37.5,-194.41428412905725
38.0,-194.414260746033
38.5,-194.41423763401158
39.0,-194.41421480883236
39.5,-194.4141922861381
40.0,-194.4141700813642
40.5,-194.4141482097283
41.0,-194.41412668621942
41.5,-194.4141055255883
42.0,-194.41408474233674
42.5,-194.414064350708
43.0,-194.41404436467695
43.5,-194.41402479794033
44.0,-194.4140056639077
44.5,-194.4139869756919
45.0,-194.41396874610035
45.5,-194.4139509876261
46.0,-194.4139337124393
46.5,-194.41391693237887
47.0,-194.41390065894444
47.5,-194.41388490328848
48.0,-194.41386967620844
48.5,-194.41385498813966
49.0,-194.41384084914807
49.5,-194.41382726892328
50.0,-194.41381425677184
50.5,-194.4138018216113
51.0,-194.41378997196338
51.5,-194.41377871594884
52.0,-194.41376806128147
52.5,-194.41375801526306
53.0,-194.4137485847781
53.5,-194.41373977628942
54.0,-194.41373159583355
54.5,-194.4137240490166
55.0,-194.41371714101038
55.5,-194.413710876549
56.0,-194.41370525992556
56.5,-194.4137002949891
57.0,-194.4136959851421
57.5,-194.41369233333813
58.0,-194.4136893420799
58.5,-194.41368701341713
59.0,-194.41368534894576
59.5,-194.41368434980646
60.0,-194.41368401668393
60.5,-194.4136843498065
61.0,-194.41368534894576
61.5,-194.41368701341713
62.0,-194.4136893420799
62.5,-194.41369233333813
63.0,-194.4136959851421
63.5,-194.4137002949891
64.0,-194.41370525992556
64.5,-194.41371087654898
65.0,-194.4137171410104
65.5,-194.4137240490166
66.0,-194.41373159583358
66.5,-194.41373977628942
67.0,-194.4137485847781
67.5,-194.41375801526306
68.0,-194.41376806128147
68.5,-194.41377871594884
69.0,-194.41378997196335
69.5,-194.4138018216113
70.0,-194.41381425677187
70.5,-194.41382726892328
71.0,-194.41384084914807
71.5,-194.41385498813966
72.0,-194.41386967620844
72.5,-194.41388490328848
73.0,-194.41390065894447
73.5,-194.41391693237884
74.0,-194.4139337124393
74.5,-194.4139509876261
75.0,-194.41396874610035
75.5,-194.4139869756919
76.0,-194.4140056639077
76.5,-194.41402479794033
77.0,-194.41404436467693
77.5,-194.414064350708
78.0,-194.41408474233674
78.5,-194.4141055255883
79.0,-194.4141266862194
79.5,-194.4141482097283
80.0,-194.41417008136423
80.5,-194.41419228613807
81.0,-194.41421480883236
81.5,-194.4142376340116
82.0,-194.414260746033
82.5,-194.41428412905725
83.0,-194.41430776705926
83.5,-194.41433164383903
84.0,-194.41435574303307
84.5,-194.4143800481254
85.0,-194.41440454245884
85.5,-194.41442920924644
86.0,-194.41445403158318
86.5,-194.41447899245736
87.0,-194.41450407476222
87.5,-194.41452926130773
88.0,-194.41455453483263
88.5,-194.41457987801573
89.0,-194.41460527348823
89.5,-194.41463070384538
90.0,-194.41465615165862
90.5,-194.4146815994872
91.0,-194.4147070298905
91.5,-194.4147324254397
92.0,-194.41475776872997
92.5,-194.41478304239206
93.0,-194.4148082291046
93.5,-194.41483331160566
94.0,-194.41485827270478
94.5,-194.41488309529458
95.0,-194.41490776236273
95.5,-194.4149322570033
96.0,-194.41495656242856
96.5,-194.41498066198045
97.0,-194.41500453914205
97.5,-194.41502817754866
98.0,-194.41505156099936
98.5,-194.41507467346776
99.0,-194.41509749911336
99.5,-194.41512002229206
100.0,-194.4151422275672
100.5,-194.41516409971976
101.0,-194.4151856237592
101.5,-194.41520678493345
102.0,-194.41522756873908
102.5,-194.41524796093148
103.0,-194.41526794753418
103.5,-194.41528751484879
104.0,-194.4153066494643
104.5,-194.4153253382661
105.0,-194.41534356844528
105.5,-194.41536132750718
106.0,-194.41537860328006
106.5,-194.41539538392328
107.0,-194.4154116579357
107.5,-194.41542741416328
108.0,-194.41544264180695
108.5,-194.4154573304299
109.0,-194.41547146996456
109.5,-194.41548505071995
110.0,-194.415498063388
110.5,-194.4155104990498
111.0,-194.41552234918214
111.5,-194.4155336056631
112.0,-194.41554426077744
112.5,-194.41555430722227
113.0,-194.41556373811187
113.5,-194.4155725469823
114.0,-194.41558072779605
114.5,-194.415588274946
115.0,-194.41559518325937
115.5,-194.4156014480012
116.0,-194.41560706487775
116.5,-194.41561203003917
117.0,-194.41561634008238
117.5,-194.41561999205328
118.0,-194.41562298344883
118.5,-194.4156253122187
119.0,-194.41562697676676
119.5,-194.4156279759522
