,R,Delta,Order,Theta
0,30.0,1.0,0.9649036664909579,0.03170779281270399
1,30.0,1.0,0.9680288777873279,0.0023061365167896504
2,30.0,1.0,0.968420384083408,0.02131968093036747
3,30.0,1.0,0.9693030984721502,0.05722063169389329
4,30.0,1.0,0.9686612838656123,0.08164972054069937
5,30.0,5.0,0.9748815743355184,0.13197432250194296
6,30.0,5.0,0.9771635748048126,0.10143801921870288
7,30.0,5.0,0.9742791104544035,0.03481817521098965
8,30.0,5.0,0.975640112441051,0.13423064661403578
9,30.0,5.0,0.9785649709337162,0.12878389259912598
10,30.0,10.0,0.9742194384428959,0.20678963251026183
11,30.0,10.0,0.9775505403530562,0.08284104242026308
12,30.0,10.0,0.9795598973868871,0.1477168272817912
13,30.0,10.0,0.9814380034075542,0.2855336820207712
14,30.0,10.0,0.9818402927172475,0.1829512622924253
15,60.0,1.0,0.45184026394608123,0.010938671836714908
16,60.0,1.0,0.4448880846183133,0.06700583475814398
17,60.0,1.0,0.4369777155594872,0.05344958056366481
18,60.0,1.0,0.4120341603554642,0.07426636303967725
19,60.0,1.0,0.452487048135191,0.059169185564515905
20,60.0,5.0,0.43582762469115494,0.06360554122861446
21,60.0,5.0,0.4177859270782327,0.021918439375077037
22,60.0,5.0,0.4176904711794308,0.13587012158322131
23,60.0,5.0,0.42781394629928304,0.07964595946568202
24,60.0,5.0,0.3849764781971887,0.04740623665676448
25,60.0,10.0,0.41886985420719847,0.012563460724756174
26,60.0,10.0,0.4290113204135792,0.060525828922300746
27,60.0,10.0,0.44268200122137225,-0.11068302277068
28,60.0,10.0,0.4449910732590074,-0.08187026393969671
29,60.0,10.0,0.46831818076969084,-0.17215787750225076
30,90.0,1.0,0.02577470322849871,-0.014205288516319694
31,90.0,1.0,0.033318472402747844,0.4264038194137103
32,90.0,1.0,0.02411715326457476,0.2553459803708126
33,90.0,1.0,0.046539514993565866,0.09397929393547784
34,90.0,1.0,0.0278482265307999,-0.4056727048644219
35,90.0,5.0,0.03143166124960502,0.30341948415735054
36,90.0,5.0,0.022278997218783243,0.1930571145726405
37,90.0,5.0,0.01331816171722763,0.32615346867472644
38,90.0,5.0,0.05226817992529685,0.13582540697931944
39,90.0,5.0,0.038936867348588484,-0.10975109024722977
40,90.0,10.0,0.028974856698133985,-0.3227246506378597
41,90.0,10.0,0.02263078402612667,-0.06571012222538522
42,90.0,10.0,0.0384482228376155,0.1696892353444548
43,90.0,10.0,0.017627666667141585,-0.3359066026325027
44,90.0,10.0,0.01257850626681556,0.36863192382294957
