,R,Delta,Order,Theta
0,30.0,0.0,0.9637082285854364,-0.002510164239643575
1,30.0,0.0,0.9643766399102189,-0.0002287256534074007
2,30.0,0.0,0.9642645014340615,-0.0014446854687368788
3,30.0,0.0,0.964828248049774,-0.002637440968440854
4,30.0,0.0,0.9648273922906198,0.00020552082617970714
5,30.0,0.0,0.9643100596461326,0.0023140937612084315
6,30.0,0.0,0.9641807163043746,-0.0024388633381165047
7,30.0,0.0,0.9635478080677147,-0.0011099789883406157
8,30.0,0.0,0.9641478679053498,-0.00056078791525687
9,30.0,0.0,0.963980229338628,-0.0012887890273386605
10,30.0,0.0,0.964558055626726,0.0004557134318566581
11,30.0,0.0,0.9641887019889583,0.0016147177690502418
12,30.0,0.0,0.9645999257270386,-0.0005796049165054972
13,30.0,0.0,0.9636394757408054,-0.0009469362206312279
14,30.0,0.0,0.9629946105552839,0.0009550866732365049
15,30.0,0.0,0.9643579166716469,0.001973465171182734
16,30.0,0.0,0.9646923394007733,0.001940351238729379
17,30.0,0.0,0.9643898985241569,0.0009896671005091824
18,30.0,0.0,0.9640016357680266,-0.0047783256381756555
19,30.0,0.0,0.9648637236054154,0.003370898319043907
20,30.0,0.0,0.9640537392925658,0.0051650344345335495
21,30.0,0.0,0.9647322236644921,-0.002048116063146488
22,30.0,0.0,0.9643629481663166,-0.0021443678811031456
23,30.0,0.0,0.9638357147605271,-0.0014902277245129297
24,30.0,0.0,0.9637539334426042,0.005656928218075178
25,30.0,0.0,0.9638369574245224,0.003862184420885776
26,30.0,0.0,0.9651332316548612,0.003772353059090631
27,30.0,0.0,0.9641120309291858,-0.0019480699197262532
28,30.0,0.0,0.9641953237731888,0.0024937590001440557
29,30.0,0.0,0.9641855648030018,0.003615831356994445
30,30.0,0.0,0.9636110197530934,-0.0018005782791079466
31,30.0,0.0,0.9639456115633878,-0.0017622510059908574
32,30.0,0.0,0.96373100259525,-0.00032214102402842656
33,30.0,0.0,0.9640196634483839,0.0033915141300997305
34,30.0,0.0,0.964074294224145,0.00046661103468654066
35,30.0,0.0,0.9650327285668725,0.0011638136270067934
36,30.0,0.0,0.9641743929906073,-0.0004331457528560816
37,30.0,0.0,0.9639573995738102,-0.0018087602584313147
38,30.0,0.0,0.9638283168510229,-0.005638311287284354
39,30.0,0.0,0.9638709250069033,0.0003215572140143163
40,30.0,0.0,0.9640206427006754,0.0005207438624890894
41,30.0,0.0,0.964943833811195,-0.00391361773273007
42,30.0,0.0,0.9643498283242824,-0.004402312128374463
43,30.0,0.0,0.9625212277438173,-0.0019542198415806586
44,30.0,0.0,0.9641547219717987,-0.001337701317586114
45,30.0,0.0,0.964070217198086,0.001937197643187517
46,30.0,0.0,0.9646478831781267,0.0022515810606131906
47,30.0,0.0,0.9642409776197663,-0.007526333405498601
48,30.0,0.0,0.9638642050764309,-0.004761815464334627
49,30.0,0.0,0.9633863814664453,-0.0012491412087847645
50,30.0,1.0,0.9642504502192688,-0.025876725697001748
51,30.0,1.0,0.9651892996857927,0.019516496412809937
52,30.0,1.0,0.964164300677442,-0.00935522652731979
53,30.0,1.0,0.9663634599279098,-0.022989146310870255
54,30.0,1.0,0.9637620690061105,-0.019992400126982807
55,30.0,1.0,0.96299555687327,-0.012006651413053999
56,30.0,1.0,0.9648160009240551,-0.00199775678386853
57,30.0,1.0,0.9665688650771601,0.02443289530234911
58,30.0,1.0,0.9640582473895508,0.06549809901788499
59,30.0,1.0,0.9636724729669112,0.01642476598915953
